Index ,Close,CloseTotRetc,CloseNetRet
"2016/11/24","33084.10","49191.86","46725.70"
"2016/11/25","33131.09","49261.73","46792.07"
"2016/11/28","33359.58","49601.47","47114.77"
"2016/11/29","33314.46","49534.38","47051.05"
"2016/11/30","33292.42","49501.61","47019.92"
"2016/12/01","33964.32","50500.64","47968.87"
"2016/12/02","34248.44","50923.09","48370.14"
"2016/12/05","34004.96","50561.07","48026.27"
"2016/12/06","34474.13","51258.67","48688.89"
"2016/12/07","34912.08","51909.85","49307.42"
"2016/12/08","35509.69","52798.42","50151.44"
"2016/12/09","35900.89","53380.08","50703.94"
"2016/12/12","35743.86","53146.60","50482.16"
"2016/12/13","35793.96","53221.09","50552.92"
"2016/12/14","35751.02","53157.24","50492.27"
"2016/12/15","35778.81","53198.56","50531.52"
"2016/12/16","36012.98","53546.74","50862.25"
"2016/12/19","35798.63","53228.03","50559.52"
"2016/12/20","35645.78","53000.76","50343.65"
"2016/12/21","35595.96","52926.68","50273.29"
"2016/12/22","35555.84","52867.03","50216.63"
"2016/12/26","35246.12","52406.52","49779.20"
"2016/12/27","35275.64","52450.41","49820.89"
"2016/12/28","35221.32","52496.98","49840.55"
"2016/12/29","34643.91","51636.36","49023.48"
"2016/12/30","34639.27","51629.44","49016.91"
"2017/01/04","35629.84","53105.87","50418.63"
"2017/01/05","35645.78","53129.63","50441.19"
"2017/01/06","35364.56","52710.47","50043.24"
"2017/01/10","35038.32","52224.21","49581.59"
"2017/01/11","35359.95","52703.60","50036.72"
"2017/01/12","35077.12","52282.05","49636.50"
"2017/01/13","35247.01","52535.27","49876.91"
"2017/01/16","34904.77","52025.17","49392.62"
"2017/01/17","34425.49","51310.81","48714.41"
"2017/01/18","34585.11","51548.72","48940.28"
"2017/01/19","34971.81","52125.09","49487.49"
"2017/01/20","35162.90","52409.91","49757.90"
"2017/01/23","34819.22","51897.66","49271.57"
"2017/01/24","34524.57","51458.49","48854.62"
"2017/01/25","34885.22","51996.03","49364.96"
"2017/01/26","35685.75","53189.21","50497.76"
"2017/01/27","35842.57","53438.73","50731.60"
"2017/01/30","35637.95","53133.66","50441.98"
"2017/01/31","35013.48","52202.62","49558.10"
"2017/02/01","34939.14","52091.78","49452.88"
"2017/02/02","34658.31","51673.08","49055.39"
"2017/02/03","34710.51","51750.91","49129.27"
"2017/02/06","34966.87","52133.12","49492.12"
"2017/02/07","34929.83","52077.90","49439.69"
"2017/02/08","35185.49","52459.07","49801.55"
"2017/02/09","34874.87","51995.96","49361.90"
"2017/02/10","35710.52","53241.85","50544.68"
"2017/02/13","35878.36","53492.09","50782.24"
"2017/02/14","35691.94","53214.15","50518.38"
"2017/02/15","36254.72","54053.22","51314.94"
"2017/02/16","36241.47","54033.47","51296.19"
"2017/02/17","36081.68","53795.23","51070.02"
"2017/02/20","36138.70","53880.24","51150.73"
"2017/02/21","36414.86","54291.97","51541.61"
"2017/02/22","36555.29","54501.34","51740.37"
"2017/02/23","36480.98","54390.55","51635.19"
"2017/02/24","36217.30","53997.42","51261.98"
"2017/02/27","35709.07","53239.69","50542.63"
"2017/02/28","35805.32","53383.19","50678.86"
"2017/03/01","36267.20","54071.82","51332.61"
"2017/03/02","36626.58","54607.63","51841.28"
"2017/03/03","36427.80","54311.26","51559.93"
"2017/03/06","36448.03","54341.42","51588.56"
"2017/03/07","36466.96","54369.64","51615.35"
"2017/03/08","36331.41","54167.54","51423.49"
"2017/03/09","36473.72","54379.71","51624.92"
"2017/03/10","36915.70","55038.67","52250.50"
"2017/03/13","36903.04","55019.79","52232.58"
"2017/03/14","36892.28","55003.75","52217.35"
"2017/03/15","36745.88","54785.48","52010.14"
"2017/03/16","36766.24","54815.84","52038.96"
"2017/03/17","36625.59","54606.14","51839.88"
"2017/03/21","36457.83","54356.02","51602.43"
